event	Event name (“dropped”).
recipient	Intended recipient.
domain	Domain that sent the original message.
message-headers	String list of all MIME headers of the original message dumped to a JSON string (order of headers preserved).
reason	Reason for failure. Can be one either “hardfail” or “old”. See below.
code	ESP response code, e.g. if the message was blocked as a spam (optional).
description	Detailed explanation of why the messages was dropped
“custom variables”	Your own custom JSON object included in the header (see Attaching Data to Messages).
timestamp	Number of seconds passed since January 1, 1970 (see securing webhooks).
token	Randomly generated string with length 50 (see securing webhooks).
signature	String with hexadecimal digits generate by HMAC algorithm (see securing webhooks).
attachment-x	attached file (‘x’ stands for number of the attachment). Attachments are included if the recipient ESP includes them in the bounce message. They are handled as file uploads, encoded as multipart/form-data.

